scenario,arm,requestCount,eligibleCacheRequestCount,cachePlanFinalModelMatchRate,cacheRequestCorrectRate,simulatedCacheReadRatio,simulatedInputSideCostUsd,simulatedOutputCostUsd,simulatedTotalCandidateExecutionCostUsd,coldRequestCount,hotRequestCount,switchCount,actualLatency,actualQuality
cold_start,original,1,1,1,1,0,0.18375,0.03,0.21375,1,0,0,not_measured_offline,not_measured_offline
cold_start,plan_fix_only,1,1,1,1,0,0.18375,0.03,0.21375,1,0,0,not_measured_offline,not_measured_offline
cold_start,plan_and_full_cost,1,1,1,1,0,0.18375,0.03,0.21375,1,0,0,not_measured_offline,not_measured_offline
same_model_stable_prefix,original,3,3,1,1,0.619047619,0.49725,0.09,0.58725,1,2,0,not_measured_offline,not_measured_offline
same_model_stable_prefix,plan_fix_only,3,3,1,1,0.619047619,0.49725,0.09,0.58725,1,2,0,not_measured_offline,not_measured_offline
same_model_stable_prefix,plan_and_full_cost,3,3,1,1,0.619047619,0.49725,0.09,0.58725,1,2,0,not_measured_offline,not_measured_offline
hot_strong_then_simple,original,4,4,0.5,0.5,0.22875817,4.19725,0.604,4.80125,1,1,1,not_measured_offline,not_measured_offline
hot_strong_then_simple,plan_fix_only,4,4,1,1,0.477124183,4.09945,0.604,4.70345,2,2,1,not_measured_offline,not_measured_offline
hot_strong_then_simple,plan_and_full_cost,4,4,1,1,0.477124183,4.09945,0.604,4.70345,2,2,1,not_measured_offline,not_measured_offline
lower_output_cost,original,3,3,1,1,0.619047619,0.49725,3.03,3.52725,1,2,0,not_measured_offline,not_measured_offline
lower_output_cost,plan_fix_only,3,3,1,1,0.619047619,0.49725,3.03,3.52725,1,2,0,not_measured_offline,not_measured_offline
lower_output_cost,plan_and_full_cost,3,3,1,1,0.301587302,0.5425,1.93,2.4725,2,1,1,not_measured_offline,not_measured_offline
prefix_changed_compaction,original,3,3,1,1,0.351851852,0.6735,0.09,0.7635,2,1,0,not_measured_offline,not_measured_offline
prefix_changed_compaction,plan_fix_only,3,3,1,1,0.351851852,0.6735,0.09,0.7635,2,1,0,not_measured_offline,not_measured_offline
prefix_changed_compaction,plan_and_full_cost,3,3,1,1,0.351851852,0.6735,0.09,0.7635,2,1,0,not_measured_offline,not_measured_offline
ttl_expired,original,3,3,1,1,0.316666667,0.786,0.09,0.876,2,1,0,not_measured_offline,not_measured_offline
ttl_expired,plan_fix_only,3,3,1,1,0.316666667,0.786,0.09,0.876,2,1,0,not_measured_offline,not_measured_offline
ttl_expired,plan_and_full_cost,3,3,1,1,0.316666667,0.786,0.09,0.876,2,1,0,not_measured_offline,not_measured_offline
unsupported_candidate,original,3,3,1,1,0.638888889,0.54525,0.075,0.62025,1,2,0,not_measured_offline,not_measured_offline
unsupported_candidate,plan_fix_only,3,3,1,1,0.638888889,0.54525,0.075,0.62025,1,2,0,not_measured_offline,not_measured_offline
unsupported_candidate,plan_and_full_cost,3,2,1,1,0.319444444,0.55575,0.0615,0.61725,1,1,1,not_measured_offline,not_measured_offline
